encoder,dataset,fold,method,hyper,accuracy,macro_f1,weighted_f1,n_iter
wavtok_40_unify,ravdess,3,mlp,h512_a1e-05,0.2533333333333333,0.2568541343812811,0.2549301242924142,234.0
wavtok_40_unify,ravdess,3,mlp,h512_a1e-04,0.36,0.3403242343251231,0.3398241108163632,155.0
wavtok_40_unify,ravdess,3,mlp,h512_a1e-03,0.26,0.260634397987655,0.2599309284749675,234.0
wavtok_40_unify,ravdess,3,mlp,h512_a1e-02,0.2566666666666666,0.2550352023667346,0.2553708825245169,234.0
wavtok_40_unify,ravdess,3,knn,k11,0.2433333333333333,0.240564031832824,0.2454905228439012,
wavtok_40_unify,ravdess,4,mlp,h512_a1e-05,0.28,0.2730187417555502,0.2659947659806949,263.0
wavtok_40_unify,ravdess,4,mlp,h512_a1e-04,0.3333333333333333,0.3037138886354203,0.2987362559858898,99.0
wavtok_40_unify,ravdess,4,mlp,h512_a1e-03,0.2866666666666667,0.2778633992575977,0.2724560019431469,263.0
wavtok_40_unify,ravdess,4,mlp,h512_a1e-02,0.2566666666666666,0.2483717903223159,0.2437177884650158,263.0
wavtok_40_unify,ravdess,4,knn,k11,0.27,0.2616708931348706,0.2677681016133654,
wavtok_40_unify,ravdess,5,mlp,h512_a1e-05,0.3,0.2819968951515414,0.274990236548741,261.0
wavtok_40_unify,ravdess,5,mlp,h512_a1e-04,0.3166666666666666,0.3128389379522688,0.3063444397986593,237.0
wavtok_40_unify,ravdess,5,mlp,h512_a1e-03,0.2833333333333333,0.2587050411494151,0.2529635381455831,261.0
wavtok_40_unify,ravdess,5,mlp,h512_a1e-02,0.3083333333333333,0.2910968710197065,0.285503329087687,261.0
wavtok_40_unify,ravdess,5,knn,k11,0.275,0.270644032249048,0.2690791245950629,
wavtok_40_unify,cremad,1,mlp,h512_a1e-05,0.3905133203378817,0.3602235855324739,0.3611994159065389,132.0
wavtok_40_unify,cremad,1,mlp,h512_a1e-04,0.3885640025990903,0.3577017113236342,0.3585917188482161,132.0
wavtok_40_unify,cremad,1,mlp,h512_a1e-03,0.3846653671215074,0.3513434998747554,0.3520425022407915,132.0
wavtok_40_unify,cremad,1,mlp,h512_a1e-02,0.3892137751786874,0.3760771002522899,0.3775442321566098,192.0
wavtok_40_unify,cremad,1,knn,k11,0.2969460688758934,0.290496115459506,0.2926664404589081,
wavtok_40_unify,cremad,2,mlp,h512_a1e-05,0.3870346598202824,0.3595638582058897,0.3582442190219309,128.0
wavtok_40_unify,cremad,2,mlp,h512_a1e-04,0.3748395378690629,0.3645446989662533,0.3642957049977099,92.0
